date,max_temp,min_temp,mean_temp,max_wind,min_wind,mean_wind,day_no
2017-07-05,16.0,13.0,15.0,33.48,25.92,29.58,1
2017-07-06,16.0,11.656,14.60125,25.92,18.36,22.176,2
2017-07-07,18.0,17.0,17.517,14.76,9.36,12.408,3
2017-07-08,23.0,22.0,22.3333333333,12.96,11.16,12.36,4
2017-07-09,21.0,18.752,20.0184,9.216,3.6,6.1848,5
2017-07-10,24.0,18.47,21.6338333333,11.232,9.756,10.95,6
2017-07-11,23.51,19.0,21.302,22.32,1.8,10.368,7
2017-07-12,23.0,18.865,21.94175,15.156,9.972,13.482,8
2017-07-13,18.0,13.531,16.63275,39.6,7.2,27.549,9
2017-07-14,20.0,16.533,18.511,21.6,5.436,15.012,10
2017-07-15,20.176,18.209,19.5203333333,15.876,8.28,13.344,11
2017-07-16,22.0,20.027,21.0135,14.4,10.692,12.546,12
2017-07-17,21.022,21.022,21.022,13.536,13.536,13.536,13
2017-07-18,24.125,23.705,23.915,14.436,8.928,11.682,14
2017-07-19,25.467,20.0,23.1556666667,21.6,5.796,11.532,15
2017-07-20,30.57,21.0,25.785,10.8,7.2,9.0,16
2017-07-21,31.98,30.91,31.3625,6.84,3.6,4.41,17
2017-07-22,26.13,24.0,25.065,14.76,11.16,12.96,18
2017-07-23,30.52,25.0,27.702,7.56,3.816,5.5152,19
2017-07-24,29.0,25.0,26.3333333333,12.96,1.8,8.04,20
2017-07-25,33.816,22.0,30.4358,28.656,18.36,25.8408,21
2017-07-26,30.565,30.143,30.4243333333,9.036,4.716,7.596,22
2017-07-27,25.659,22.945,24.302,14.472,14.076,14.274,23
2017-07-28,24.06,19.0,22.015,29.52,7.56,18.99,24
2017-07-29,33.0,27.02,30.01,18.36,16.56,17.46,25
2017-07-30,29.0,28.0,28.5,25.92,22.32,24.12,26
2017-07-31,28.0,23.0,25.5,35.28,25.92,30.6,27
2017-08-01,29.0,27.48,28.3233333333,33.48,29.52,32.16,28
