date,time,windSpeed,windDeg,humidity,tempC,icon,desc,lon,lat,day_no,iter_no
2017-07-05,08:45:59,27.72,290.0,82.0,14.0,04d,overcast clouds,24.8,59.42,1,1
2017-07-05,11:18:10,25.92,300.0,62.0,16.0,02d,few clouds,24.7,59.44,1,2
2017-07-05,13:27:30,31.32,280.0,62.0,16.0,01d,clear sky,24.62,59.44,1,3
2017-07-05,17:11:14,33.48,280.0,62.0,16.0,01d,clear sky,24.38,59.45,1,4
2017-07-05,19:43:32,31.32,280.0,58.0,15.0,01d,clear sky,24.12,59.34,1,5
2017-07-05,21:21:03,27.72,270.0,71.0,13.0,01d,clear sky,24.29,59.34,1,6
2017-07-06,12:51:00,18.36,290.0,58.0,16.0,03d,scattered clouds,24.22,59.34,2,1
2017-07-06,13:17:11,25.92,290.0,58.0,16.0,03d,scattered clouds,24.24,59.38,2,2
2017-07-06,20:35:02,25.236,310.001,50.0,14.749,01d,clear sky,23.98,58.74,2,3
2017-07-06,22:01:32,19.188,306.001,65.0,11.656,01n,clear sky,24.14,58.58,2,4
2017-07-07,11:00:48,9.36,200.0,51.0,18.0,01d,clear sky,24.18,58.54,3,1
2017-07-07,13:55:55,14.76,210.0,59.0,17.0,01d,clear sky,24.5,58.39,3,2
2017-07-07,19:16:16,13.104,308.002,62.0,17.551,01d,clear sky,24.36,57.86,3,3
2017-07-08,14:12:58,12.96,220.0,43.0,22.0,01d,clear sky,24.43,57.38,4,1
2017-07-08,14:13:08,12.96,220.0,43.0,22.0,01d,clear sky,24.43,57.38,4,2
2017-07-08,14:19:14,11.16,200.0,40.0,23.0,01d,clear sky,24.46,57.34,4,3
2017-07-09,16:02:21,3.6,0.0,72.0,21.0,04d,broken clouds,24.54,56.54,5,1
2017-07-09,16:10:51,3.6,0.0,72.0,21.0,04d,broken clouds,24.58,56.48,5,2
2017-07-09,17:20:15,7.632,255.51,87.0,20.338,04d,broken clouds,24.64,56.38,5,3
2017-07-09,19:12:35,6.876,281.001,85.0,18.752,10d,light rain,24.71,56.11,5,4
2017-07-09,20:27:39,9.216,288.001,85.0,19.002,04d,broken clouds,24.74,55.96,5,5
2017-07-10,11:48:09,9.756,227.503,94.0,20.005,01d,clear sky,24.97,55.86,6,1
2017-07-10,13:17:18,11.232,222.001,84.0,21.664,01d,clear sky,24.98,55.84,6,2
2017-07-10,15:24:38,11.232,222.001,84.0,21.664,01d,clear sky,25.06,55.62,6,3
2017-07-10,19:29:19,11.16,110.0,53.0,24.0,01d,clear sky,24.9,55.35,6,4
2017-07-10,19:34:38,11.16,110.0,53.0,24.0,01d,clear sky,24.9,55.35,6,5
2017-07-10,22:58:38,11.16,120.0,63.0,18.47,01n,clear sky,24.75,55.14,6,6
2017-07-11,07:43:51,12.96,150.0,77.0,19.0,01d,clear sky,24.81,55.17,7,1
2017-07-11,11:33:33,22.32,160.0,73.0,23.51,04d,broken clouds,24.83,54.91,7,2
2017-07-11,16:43:23,1.8,0.0,88.0,22.0,11d,thunderstorm,24.1,54.43,7,3
2017-07-11,18:51:16,5.4,340.0,83.0,22.0,11d,thunderstorm,24.04,54.39,7,4
2017-07-11,21:32:37,9.36,280.0,88.0,20.0,09d,light intensity shower rain,24.04,54.39,7,5
2017-07-12,14:15:01,14.4,280.0,56.0,23.0,04d,broken clouds,24.02,54.13,8,1
2017-07-12,14:22:05,14.4,280.0,56.0,23.0,04d,broken clouds,23.91,54.1,8,2
2017-07-12,17:19:20,15.156,254.501,80.0,22.902,03d,scattered clouds,23.97,54.02,8,3
2017-07-12,21:50:36,9.972,163.502,81.0,18.865,03n,scattered clouds,23.92,54.06,8,4
2017-07-13,08:26:03,7.2,200.0,93.0,17.0,11d,thunderstorm with light rain,23.92,54.06,9,1
2017-07-13,13:28:07,32.4,300.0,93.0,18.0,04d,overcast clouds,23.66,54.0,9,2
2017-07-13,16:47:55,39.6,330.0,77.0,18.0,04d,broken clouds,23.46,54.08,9,3
2017-07-13,23:31:44,30.996,321.007,77.0,13.531,02n,few clouds,23.1,53.74,9,4
2017-07-14,13:18:23,21.6,300.0,39.0,20.0,04d,broken clouds,23.11,53.59,10,1
2017-07-14,18:34:58,18.0,300.0,63.0,19.0,04d,broken clouds,23.18,53.36,10,2
2017-07-14,22:26:39,5.436,358.001,72.0,16.533,04n,overcast clouds,23.25,53.09,10,3
2017-07-15,17:02:36,15.876,5.00021,76.0,20.176,10d,light rain,23.23,52.69,11,1
2017-07-15,17:02:38,15.876,5.00021,76.0,20.176,10d,light rain,23.23,52.69,11,2
2017-07-15,20:53:17,8.28,14.0034,67.0,18.209,04n,broken clouds,23.2,52.43,11,3
2017-07-16,16:03:53,14.4,310.0,40.0,22.0,03d,scattered clouds,22.95,52.18,12,1
2017-07-16,18:34:56,10.692,292.002,54.0,20.027,03d,scattered clouds,23.12,52.04,12,2
2017-07-17,20:13:16,13.536,254.512,61.0,21.022,04d,broken clouds,23.88,51.04,13,1
2017-07-18,12:33:57,14.436,282.5,65.0,24.125,02d,clear sky,24.04,50.89,14,1
2017-07-18,16:00:50,8.928,283.003,76.0,23.705,01d,clear sky,24.32,50.85,14,2
2017-07-19,09:58:33,5.796,139.501,75.0,25.467,03d,scattered clouds,24.29,50.49,15,1
2017-07-19,15:52:57,21.6,290.0,53.0,24.0,11d,thunderstorm,24.07,49.91,15,2
2017-07-19,21:02:33,7.2,190.0,77.0,20.0,04n,broken clouds,24.04,49.84,15,3
2017-07-20,14:55:36,10.8,220.0,39.0,30.57,04d,broken clouds,24.6,49.42,16,1
2017-07-20,23:05:13,7.2,180.0,88.0,21.0,01n,clear sky,24.78,48.91,16,2
2017-07-21,14:45:08,6.84,225.005,48.0,31.65,04d,broken clouds,25.45,48.7,17,1
2017-07-21,15:15:49,3.6,0.0,27.0,31.98,01d,clear sky,25.5,48.67,17,2
2017-07-21,16:39:24,3.6,0.0,24.0,30.91,01d,clear sky,25.51,48.66,17,3
2017-07-21,16:39:32,3.6,0.0,24.0,30.91,01d,clear sky,25.51,48.66,17,4
2017-07-22,17:28:33,14.76,320.0,64.0,26.13,01d,clear sky,26.17,47.98,18,1
2017-07-22,20:09:38,11.16,320.0,69.0,24.0,01d,clear sky,26.43,47.68,18,2
2017-07-23,11:14:19,5.4,0.0,64.0,25.0,03d,scattered clouds,26.59,47.55,19,1
2017-07-23,12:52:14,7.56,0.0,54.0,27.0,03d,scattered clouds,26.61,47.43,19,2
2017-07-23,16:37:29,5.4,50.0,40.0,28.99,01d,clear sky,26.77,47.17,19,3
2017-07-23,18:30:57,3.816,111.001,62.0,30.52,02d,few clouds,26.92,46.92,19,4
2017-07-23,20:36:03,5.4,330.0,78.0,27.0,01n,clear sky,26.98,46.87,19,5
2017-07-24,10:32:30,1.8,0.0,69.0,29.0,01d,clear sky,26.89,46.73,20,1
2017-07-24,17:47:43,9.36,90.0,83.0,25.0,03d,scattered clouds,27.55,46.37,20,2
2017-07-24,19:33:10,12.96,180.0,88.0,25.0,02d,few clouds,27.65,46.2,20,3
2017-07-25,09:43:41,18.36,180.0,94.0,22.0,01d,clear sky,27.65,46.18,21,1
2017-07-25,15:19:29,28.656,167.006,42.0,33.816,02d,clear sky,27.82,45.8,21,2
2017-07-25,15:41:30,27.396,162.501,41.0,32.121,02d,few clouds,28.07,45.71,21,3
2017-07-25,15:41:33,27.396,162.501,41.0,32.121,02d,few clouds,28.07,45.71,21,4
2017-07-25,17:08:52,27.396,162.501,41.0,32.121,02d,few clouds,28.03,45.49,21,5
2017-07-26,14:21:13,9.036,16.5076,64.0,30.565,01d,clear sky,27.61,44.91,22,1
2017-07-26,14:21:53,9.036,16.5076,64.0,30.565,01d,clear sky,27.61,44.92,22,2
2017-07-26,18:03:40,4.716,324.508,64.0,30.143,02d,few clouds,27.39,44.59,22,3
2017-07-27,13:28:29,14.472,318.504,91.0,22.945,04d,overcast clouds,27.27,44.12,23,1
2017-07-27,17:34:40,14.076,316.501,67.0,25.659,04d,broken clouds,27.23,43.86,23,2
2017-07-28,11:10:44,29.52,260.0,88.0,19.0,09d,light intensity shower rain,27.4,43.74,24,1
2017-07-28,15:07:15,25.92,290.0,82.0,21.0,04d,broken clouds,27.43,43.32,24,2
2017-07-28,18:01:19,12.96,250.0,78.0,24.0,02d,few clouds,27.65,43.22,24,3
2017-07-28,20:17:33,7.56,230.0,78.0,24.06,01n,clear sky,27.68,43.01,24,4
2017-07-29,09:51:38,18.36,260.0,53.0,27.02,01d,clear sky,27.8,42.91,25,1
2017-07-29,14:44:42,16.56,290.0,31.0,33.0,03d,scattered clouds,27.44,42.46,25,2
2017-07-30,14:36:21,25.92,120.0,48.0,29.0,01d,clear sky,27.49,42.27,26,1
2017-07-30,16:51:23,22.32,110.0,54.0,28.0,01d,clear sky,27.48,42.03,26,2
2017-07-31,16:10:50,35.28,10.0,54.0,28.0,03d,scattered clouds,27.77,41.57,27,1
2017-07-31,19:59:14,25.92,10.0,73.0,23.0,01d,clear sky,28.08,41.43,27,2
2017-08-01,10:43:42,33.48,30.0,51.0,28.49,03d,scattered clouds,28.46,41.22,28,1
2017-08-01,12:51:16,33.48,20.0,51.0,29.0,03d,scattered clouds,28.51,41.23,28,2
2017-08-01,18:13:02,29.52,20.0,54.0,27.48,03d,scattered clouds,28.93,41.0,28,3
