day,rest_hr,day_no
2017-06-30,72,1
2017-07-01,79,2
2017-07-02,72,3
2017-07-03,66,4
2017-07-04,73,5
2017-07-05,71,6
2017-07-06,70,7
2017-07-07,69,8
2017-07-08,65,9
2017-07-09,68,10
2017-07-10,58,11
2017-07-11,63,12
2017-07-12,65,13
2017-07-13,34,14
2017-07-14,58,15
2017-07-15,64,16
2017-07-16,75,17
2017-07-17,62,18
2017-07-18,44,19
2017-07-19,51,20
2017-07-20,64,21
2017-07-21,56,22
2017-07-22,52,23
2017-07-23,64,24
2017-07-24,65,25
2017-07-25,62,26
2017-07-26,65,27
2017-07-27,66,28
2017-07-28,58,29
2017-07-29,56,30
2017-07-30,64,31
2017-07-31,65,32
2017-08-01,62,33
2017-08-02,66,34
2017-08-03,75,35
2017-08-04,75,36
2017-08-05,74,37
2017-08-06,78,38
2017-08-07,69,39
