Date,ttl_cal_burnt,day_no
2017-07-05,2105,1
2017-07-06,3471,2
2017-07-07,3830,3
2017-07-08,3760,4
2017-07-09,4273,5
2017-07-10,3352,6
2017-07-11,2040,7
2017-07-12,2505,8
2017-07-13,3100,9
2017-07-14,3282,10
2017-07-15,2802,11
2017-07-16,3103,12
2017-07-17,3808,13
2017-07-18,2650,14
2017-07-19,3039,15
2017-07-20,4343,16
2017-07-21,2728,17
2017-07-22,3942,18
2017-07-23,3595,19
2017-07-24,3232,20
2017-07-25,3340,21
2017-07-26,3066,22
2017-07-27,3431,23
2017-07-28,3614,24
2017-07-29,3582,25
2017-07-30,5,26
2017-07-31,3517,27
2017-08-01,3439,28
