Date,Activity,Group,Duration,Distance,Steps,Calories
01/08/17,cycling,cycling,29071,121.368,0,3439
02/08/17,walking,walking,7251,9.400,10827,592
02/08/17,transport,transport,9866,720.706,0,0
03/08/17,transport,transport,16510,130.140,0,0
03/08/17,walking,walking,2900,2.372,3733,149
04/08/17,walking,walking,97,0.070,140,4
05/08/17,walking,walking,2091,2.109,3022,133
05/08/17,transport,transport,9248,87.656,0,0
06/08/17,walking,walking,2101,1.870,2740,118
06/08/17,transport,transport,12471,282.648,0,0
07/08/17,walking,walking,1047,0.863,1490,54
07/08/17,transport,transport,4359,43.935,0,0
08/08/17,transport,transport,18321,307.823,0,0
08/08/17,walking,walking,941,0.689,1221,43
09/08/17,walking,walking,1050,1.014,1442,64
09/08/17,transport,transport,1951,8.812,0,0
10/08/17,walking,walking,7938,7.344,12062,463
10/08/17,transport,transport,15015,1275.010,0,0
11/08/17,walking,walking,11040,10.474,15186,660
11/08/17,transport,transport,1078,2.401,0,0
12/08/17,walking,walking,5344,6.103,8027,384
13/08/17,walking,walking,5710,6.306,8237,397
14/08/17,walking,walking,3538,3.609,5036,227
15/08/17,walking,walking,4453,5.278,6874,332
16/08/17,walking,walking,4376,4.398,6099,277
16/08/17,transport,transport,289,0.521,0,0
17/08/17,walking,walking,3855,4.151,5554,261
18/08/17,walking,walking,2759,3.518,4798,222
18/08/17,transport,transport,15296,1266.981,0,0
19/08/17,walking,walking,2234,1.921,3058,121
19/08/17,transport,transport,7637,80.458,0,0
20/08/17,walking,walking,1826,1.522,2516,96
20/08/17,transport,transport,14539,2279.481,0,0
21/08/17,walking,walking,4242,4.558,6207,287
21/08/17,cycling,cycling,1265,4.942,0,141
21/08/17,transport,transport,494,0.853,0,0
22/08/17,walking,walking,2180,2.363,3563,149
22/08/17,cycling,cycling,2089,7.552,0,217
22/08/17,transport,transport,1045,3.082,0,0
23/08/17,walking,walking,1048,1.159,1736,73
23/08/17,cycling,cycling,1668,5.675,0,164
23/08/17,transport,transport,1583,2.157,0,0
24/08/17,walking,walking,4293,4.317,6390,272
24/08/17,cycling,cycling,840,2.515,0,74
24/08/17,transport,transport,293,1.315,0,0
25/08/17,walking,walking,1909,1.813,2495,114
25/08/17,cycling,cycling,1064,3.381,0,98
25/08/17,transport,transport,402,0.352,0,0
27/08/17,walking,walking,354,0.347,532,22
27/08/17,cycling,cycling,1984,9.155,0,257
27/08/17,transport,transport,509,0.700,0,0
28/08/17,walking,walking,1165,0.995,1891,63
28/08/17,cycling,cycling,596,1.833,0,54
